Id,MSSubClass,LotArea,PoolArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MiscVal,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,TotRmsAbvGrd,Fireplaces,MoSold,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SalePrice
29,20,16321,0,5,6,1957,1997,0,1277,0,207,1484,1600,0,0,1600,6,2,12,1,319,288,258,0,0,0,207500
30,30,6324,0,4,6,1927,1950,0,0,0,520,520,520,0,0,520,4,0,5,1,240,49,0,87,0,0,68500
31,70,8500,0,4,4,1920,1950,0,0,0,649,649,649,668,0,1317,6,0,7,1,250,0,54,172,0,0,40000
32,20,8544,0,5,6,1966,2006,0,0,0,1228,1228,1228,0,0,1228,6,0,6,1,271,0,65,0,0,0,149350
33,20,11049,0,8,5,2007,2007,0,0,0,1234,1234,1234,0,0,1234,7,0,1,2,484,0,30,0,0,0,179900
34,20,10552,0,5,5,1959,1959,0,1018,0,380,1398,1700,0,0,1700,6,1,4,2,447,0,38,0,0,0,165500
35,120,7313,0,9,5,2005,2005,0,1153,0,408,1561,1561,0,0,1561,6,1,8,2,556,203,47,0,0,0,277500
36,60,13418,0,8,5,2004,2005,0,0,0,1117,1117,1132,1320,0,2452,9,1,9,3,691,113,32,0,0,0,309000
37,20,10859,0,5,5,1994,1995,0,0,0,1097,1097,1097,0,0,1097,6,0,6,2,672,392,64,0,0,0,145000
38,20,8532,0,5,6,1954,1990,0,1213,0,84,1297,1297,0,0,1297,5,1,10,2,498,0,0,0,0,0,153000
39,20,7922,0,5,7,1953,2007,0,731,0,326,1057,1057,0,0,1057,5,0,1,1,246,0,52,0,0,0,109000
40,90,6040,0,4,5,1955,1955,0,0,0,0,0,1152,0,0,1152,6,0,6,0,0,0,0,0,0,0,82000
41,20,8658,0,6,5,1965,1965,0,643,0,445,1088,1324,0,0,1324,6,1,12,2,440,0,138,0,0,0,160000
42,20,16905,0,5,6,1959,1959,0,967,0,383,1350,1328,0,0,1328,5,2,7,1,308,0,104,0,0,0,170000
43,85,9180,0,5,7,1983,1983,0,747,93,0,840,884,0,0,884,5,0,12,2,504,240,0,0,0,0,144000
44,20,9200,0,5,6,1975,1980,0,280,491,167,938,938,0,0,938,5,0,7,1,308,145,0,0,0,0,130250
45,20,7945,0,5,6,1959,1959,0,179,506,465,1150,1150,0,0,1150,6,0,5,1,300,0,0,0,0,0,141000
46,120,7658,0,9,5,2005,2005,0,456,0,1296,1752,1752,0,0,1752,6,1,2,2,576,196,82,0,0,0,319900
47,50,12822,0,7,5,2003,2003,0,1351,0,83,1434,1518,631,0,2149,6,1,8,2,670,168,43,0,0,198,239686
48,20,11096,0,8,5,2006,2006,0,24,0,1632,1656,1656,0,0,1656,7,0,7,3,826,0,146,0,0,0,249700
49,190,4456,0,4,5,1920,2008,0,0,0,736,736,736,716,0,1452,8,0,6,0,0,0,0,102,0,0,113000
50,20,7742,0,5,7,1966,1966,0,763,0,192,955,955,0,0,955,6,0,1,1,386,0,0,0,0,0,127000
51,60,13869,0,6,6,1997,1997,0,182,0,612,794,794,676,0,1470,6,0,7,2,388,0,75,0,0,0,177000
52,50,6240,0,6,6,1934,1950,400,0,0,816,816,816,0,360,1176,6,1,9,2,528,112,0,0,0,0,114500
53,90,8472,0,5,5,1963,1963,0,104,712,0,816,816,0,0,816,5,0,5,2,516,106,0,0,0,0,110000
54,20,50271,0,9,5,1981,1987,0,1810,0,32,1842,1842,0,0,1842,5,1,11,3,894,857,72,0,0,0,385000
55,80,7134,0,5,5,1955,1955,0,384,0,0,384,1360,0,0,1360,6,1,2,2,572,0,50,0,0,0,130000
56,20,10175,0,6,5,1964,1964,0,490,0,935,1425,1425,0,0,1425,7,1,7,2,576,0,0,0,407,0,180500
57,160,2645,0,8,5,1999,2000,0,649,0,321,970,983,756,0,1739,7,0,8,2,480,115,0,0,0,0,172500
58,60,11645,0,7,5,2004,2004,0,0,0,860,860,860,860,0,1720,7,0,8,2,565,0,70,0,0,0,196500
59,60,13682,0,10,5,2006,2006,0,0,0,1410,1410,1426,1519,0,2945,10,1,10,3,641,192,0,37,0,0,438780
60,20,7200,0,5,7,1972,1972,0,632,0,148,780,780,0,0,780,4,0,1,1,352,196,0,0,0,0,124900
61,20,13072,0,6,5,2004,2004,0,941,0,217,1158,1158,0,0,1158,5,0,5,2,576,0,50,0,0,0,158000
62,75,7200,0,5,7,1920,1996,0,0,0,530,530,581,530,0,1111,6,0,3,1,288,0,0,144,0,0,101000
63,120,6442,0,8,5,2006,2006,0,24,0,1346,1370,1370,0,0,1370,6,1,10,2,484,120,49,0,0,0,202500
64,70,10300,0,7,6,1921,1950,0,0,0,576,576,902,808,0,1710,9,0,4,2,480,12,11,64,0,0,140000
65,60,9375,0,7,5,1997,1998,0,739,0,318,1057,1057,977,0,2034,8,0,2,2,645,576,36,0,0,0,219500
66,60,9591,0,8,5,2004,2005,0,0,0,1143,1143,1143,1330,0,2473,9,1,10,3,852,192,151,0,0,0,317000
67,20,19900,0,7,5,1970,1989,0,912,0,1035,1947,2207,0,0,2207,7,1,7,2,576,301,0,0,0,0,180000
68,20,10665,0,7,5,2003,2003,0,1013,0,440,1453,1479,0,0,1479,7,0,6,2,558,144,29,0,0,0,226000
69,30,4608,0,4,6,1945,1950,0,0,0,747,747,747,0,0,747,4,0,6,1,220,0,0,0,0,0,80000
70,50,15593,0,7,4,1953,1953,0,603,0,701,1304,1304,983,0,2287,7,1,7,2,667,0,21,114,0,0,225000
71,20,13651,0,7,6,1973,1973,0,1880,0,343,2223,2223,0,0,2223,8,2,2,2,516,300,0,0,0,0,244000
72,20,7599,0,4,6,1982,2006,0,565,0,280,845,845,0,0,845,4,0,6,2,360,0,0,0,0,0,129500
73,60,10141,0,7,5,1998,1998,0,0,0,832,832,885,833,0,1718,7,1,12,2,427,0,94,0,0,291,185000
74,20,10200,0,5,7,1954,2003,0,320,362,404,1086,1086,0,0,1086,6,0,5,2,490,0,0,0,0,0,144900
75,50,5790,0,3,6,1915,1950,0,0,0,840,840,840,765,0,1605,8,0,5,1,379,0,0,202,0,0,107400
76,180,1596,0,4,5,1973,1973,0,462,0,0,462,526,462,0,988,5,0,11,1,297,120,101,0,0,0,91000
77,20,8475,0,4,7,1956,1956,0,228,0,724,952,952,0,0,952,4,0,4,1,283,0,0,0,0,0,135750
78,50,8635,0,5,5,1948,2001,0,336,41,295,672,1072,213,0,1285,6,0,1,1,240,0,0,0,0,0,127000
79,90,10778,0,4,5,1968,1968,0,0,0,1768,1768,1768,0,0,1768,8,0,4,0,0,0,0,0,0,0,136500
80,50,10440,0,5,6,1910,1981,0,0,0,440,440,682,548,0,1230,5,0,5,2,440,74,0,128,0,0,110000
81,60,13000,0,6,6,1968,1968,0,448,0,448,896,1182,960,0,2142,8,1,6,1,509,0,72,0,0,252,193500
82,120,4500,0,6,5,1998,1998,0,1201,0,36,1237,1337,0,0,1337,5,0,3,2,405,0,199,0,0,0,153500
83,20,10206,0,8,5,2007,2007,0,33,0,1530,1563,1563,0,0,1563,6,1,10,3,758,144,99,0,0,0,245000
84,20,8892,0,5,5,1960,1960,0,0,0,1065,1065,1065,0,0,1065,6,0,7,2,461,74,0,0,0,0,126500
85,80,8530,0,7,5,1995,1996,700,0,0,384,384,804,670,0,1474,7,1,5,2,400,120,72,0,0,0,168500
86,60,16059,0,8,5,1991,1992,0,0,0,1288,1288,1301,1116,0,2417,9,1,4,2,462,127,82,0,0,0,260000
87,60,11911,0,6,5,2005,2005,0,0,0,684,684,684,876,0,1560,6,1,3,2,400,100,38,0,0,0,174000
88,160,3951,0,6,5,2009,2009,0,0,0,612,612,612,612,0,1224,4,0,6,2,528,0,234,0,0,0,164500
89,50,8470,0,3,2,1915,1982,0,0,0,1013,1013,1013,0,513,1526,6,0,10,0,0,0,0,156,0,0,85000
90,20,8070,0,4,5,1994,1995,0,588,0,402,990,990,0,0,990,5,0,8,0,0,0,0,0,0,0,123600
91,20,7200,0,4,5,1950,1950,0,0,0,0,0,1040,0,0,1040,4,0,7,2,420,0,29,0,0,0,109900
92,20,8500,0,5,3,1961,1961,0,600,0,635,1235,1235,0,0,1235,6,0,12,2,480,0,0,0,0,0,98600
93,30,13360,0,5,7,1921,2006,0,713,0,163,876,964,0,0,964,5,0,8,2,432,0,0,44,0,0,163500
94,190,7200,0,6,6,1910,1998,0,1046,0,168,1214,1260,1031,0,2291,9,1,11,2,506,0,0,0,0,99,133900
95,60,9337,0,6,5,1997,1997,0,648,0,176,824,905,881,0,1786,7,0,5,2,684,0,162,0,0,0,204750
96,60,9765,0,6,8,1993,1993,480,310,0,370,680,680,790,0,1470,6,1,4,2,420,232,63,0,0,0,185000
97,20,10264,0,7,5,1999,1999,0,1162,0,426,1588,1588,0,0,1588,6,0,8,2,472,158,29,0,0,0,214000
98,20,10921,0,4,5,1965,1965,0,520,0,440,960,960,0,0,960,6,0,5,1,432,120,0,0,0,0,94750
99,30,10625,0,5,5,1920,1950,400,108,0,350,458,835,0,0,835,5,0,5,1,366,0,0,77,0,0,83000
100,20,9320,0,4,5,1959,1959,400,569,0,381,950,1225,0,0,1225,6,0,1,0,0,352,0,0,0,0,128950
101,20,10603,0,6,7,1977,2001,0,1200,0,410,1610,1610,0,0,1610,6,2,2,2,480,168,68,0,0,0,205000
102,60,9206,0,6,5,1985,1985,0,0,0,741,741,977,755,0,1732,7,1,6,2,476,192,46,0,0,0,178000
103,90,7018,0,5,5,1979,1979,0,0,0,0,0,1535,0,0,1535,8,0,6,2,410,0,0,0,0,0,118964
104,20,10402,0,7,5,2009,2009,0,0,0,1226,1226,1226,0,0,1226,6,0,5,3,740,0,36,0,0,0,198900
105,50,7758,0,7,4,1931,1950,0,224,0,816,1040,1226,592,0,1818,7,2,6,1,240,0,0,0,0,184,169500
106,60,9375,0,8,5,2003,2004,0,0,0,1053,1053,1053,939,0,1992,9,1,8,2,648,140,45,0,0,0,250000
107,30,10800,0,4,7,1885,1995,450,0,0,641,641,1047,0,0,1047,6,0,8,1,273,0,0,0,0,0,100000
108,20,6000,0,5,5,1948,1950,0,104,169,516,789,789,0,0,789,5,0,4,1,250,0,0,0,0,0,115000
109,50,8500,0,5,7,1919,2005,0,0,0,793,793,997,520,0,1517,7,0,8,0,0,0,0,144,0,0,115000
110,20,11751,0,6,6,1977,1977,0,705,0,1139,1844,1844,0,0,1844,7,1,1,2,546,0,122,0,0,0,190000
111,50,9525,0,6,4,1954,1972,0,444,0,550,994,1216,639,0,1855,7,0,10,1,325,182,0,0,0,0,136900
112,80,7750,0,7,5,2000,2000,0,250,0,134,384,774,656,0,1430,7,1,4,2,400,180,0,0,0,0,180000
113,60,9965,0,7,5,2007,2007,0,984,0,280,1264,1282,1414,0,2696,10,1,10,3,792,120,184,0,0,168,383970
114,20,21000,0,6,5,1953,1953,0,35,869,905,1809,2259,0,0,2259,7,2,10,2,450,166,120,192,0,0,217000
115,70,7259,0,6,8,1945,2002,0,774,150,104,1028,1436,884,0,2320,9,1,7,1,180,224,0,0,0,0,259500
116,160,3230,0,6,5,1999,1999,0,419,0,310,729,729,729,0,1458,5,1,6,2,440,0,32,0,0,0,176000
117,20,11616,0,5,5,1962,1962,0,170,670,252,1092,1092,0,0,1092,6,1,9,1,288,0,20,144,0,0,139000
118,20,8536,0,5,5,2006,2007,0,0,0,1125,1125,1125,0,0,1125,5,0,4,2,430,80,64,0,0,0,155000
119,60,12376,0,7,5,1990,1990,0,1470,0,203,1673,1699,1523,0,3222,11,2,5,3,594,367,0,0,0,0,320000
120,60,8461,0,6,5,2005,2006,0,0,0,728,728,728,728,0,1456,8,1,7,2,390,0,24,0,0,0,163990
121,80,21453,0,6,5,1969,1969,0,938,0,0,938,988,0,0,988,4,2,10,2,540,0,130,0,130,0,180000
122,50,6060,0,4,5,1939,1950,0,0,0,732,732,772,351,0,1123,4,0,6,1,264,0,0,140,0,0,100000
123,20,9464,0,6,7,1958,1958,0,570,0,510,1080,1080,0,0,1080,5,0,6,1,288,0,0,0,0,130,136000
124,120,7892,0,6,5,1993,1993,0,300,0,899,1199,1199,0,0,1199,5,0,3,2,530,0,63,0,0,0,153900
125,20,17043,0,6,5,1979,1998,0,0,0,1362,1362,1586,0,0,1586,7,1,1,2,435,192,0,0,0,0,181000
126,190,6780,0,6,8,1935,1982,0,490,0,30,520,520,0,234,754,5,0,6,0,0,53,0,0,0,0,84500
127,120,4928,0,6,5,1976,1976,0,120,0,958,1078,958,0,0,958,5,1,2,2,440,0,205,0,0,0,128000
128,45,4388,0,5,7,1930,1950,0,116,0,556,672,840,0,0,840,5,1,6,0,0,0,0,0,0,0,87000
129,60,7590,0,6,5,1966,1966,0,512,0,148,660,660,688,0,1348,6,1,7,2,453,188,108,0,0,0,155000
130,20,8973,0,5,7,1958,1991,0,567,28,413,1008,1053,0,0,1053,6,0,7,2,750,0,80,0,180,0,150000
131,60,14200,0,7,6,1966,1966,0,445,0,479,924,1216,941,0,2157,8,2,5,2,487,105,66,0,0,0,226000
132,60,12224,0,6,5,2000,2000,0,695,0,297,992,1022,1032,0,2054,7,1,7,2,390,24,48,0,0,0,244000
133,20,7388,0,5,6,1959,2002,0,405,0,658,1063,1327,0,0,1327,7,0,7,2,624,0,0,0,0,0,150750
134,20,6853,0,8,5,2001,2002,0,1005,0,262,1267,1296,0,0,1296,6,0,6,2,471,192,25,0,0,0,220000
135,20,10335,0,5,6,1968,1993,0,570,0,891,1461,1721,0,0,1721,7,1,7,2,440,0,96,180,0,0,180000
136,20,10400,0,7,6,1970,1970,0,0,0,1304,1304,1682,0,0,1682,7,1,5,2,530,98,0,0,0,0,174000
137,20,10355,0,5,5,1967,1967,0,695,0,519,1214,1214,0,0,1214,5,1,7,1,318,0,111,0,0,0,143000
138,90,11070,0,7,5,1988,1989,0,0,0,1907,1907,1959,0,0,1959,9,0,7,3,766,0,0,0,0,0,171000
139,60,9066,0,8,5,1999,2000,0,668,0,336,1004,1004,848,0,1852,7,2,12,3,660,224,106,0,0,0,230000
140,60,15426,0,6,5,1997,1997,0,821,0,107,928,928,836,0,1764,7,0,8,2,470,276,99,0,0,0,231500
141,20,10500,0,4,5,1971,1971,0,432,0,432,864,864,0,0,864,5,1,4,0,0,0,0,0,0,0,115000
142,20,11645,0,7,5,2005,2005,0,1300,0,434,1734,1734,0,0,1734,7,0,1,2,660,160,24,0,0,0,260000
143,50,8520,0,5,4,1952,1952,0,507,0,403,910,910,475,0,1385,6,0,6,2,720,0,0,0,0,0,166000
144,20,10335,0,7,5,1999,1999,0,679,0,811,1490,1501,0,0,1501,6,0,6,2,577,144,29,0,0,0,204000
145,90,9100,0,5,5,1963,1963,0,1332,0,396,1728,1728,0,0,1728,10,0,11,2,504,0,0,0,0,0,125000
146,160,2522,0,6,5,2004,2006,0,0,0,970,970,970,739,0,1709,7,0,4,2,380,0,40,0,0,0,130000
147,30,6120,0,5,7,1931,1993,0,209,0,506,715,875,0,0,875,5,0,11,1,180,48,0,0,0,0,105000
148,60,9505,0,7,5,2001,2001,0,0,0,884,884,884,1151,0,2035,8,1,5,2,434,144,48,0,0,0,222500
149,20,7500,0,7,5,2004,2005,0,680,0,400,1080,1080,0,0,1080,6,0,4,0,0,0,0,0,0,0,141000
150,50,6240,0,5,4,1936,1950,0,0,0,896,896,896,448,0,1344,7,0,4,1,240,200,114,0,0,0,115000
151,20,10356,0,5,6,1975,1975,0,716,0,253,969,969,0,0,969,5,0,1,2,440,0,0,0,0,0,122000
152,20,13891,0,8,5,2007,2008,0,1400,0,310,1710,1710,0,0,1710,6,1,1,3,866,0,102,0,0,0,372402
153,60,14803,0,6,5,1971,1971,0,416,0,409,825,1097,896,0,1993,8,1,6,2,495,0,66,0,0,0,190000
154,20,13500,0,6,7,1960,1975,0,429,1080,93,1602,1252,0,0,1252,4,1,3,2,564,409,0,0,0,0,235000
155,30,11340,0,6,5,1923,1950,0,0,0,1200,1200,1200,0,0,1200,7,0,3,1,312,0,0,228,0,0,125000
156,50,9600,0,6,5,1924,1950,0,0,0,572,572,572,524,0,1096,5,0,4,0,0,0,8,128,0,0,79000
157,20,7200,0,5,7,1950,1950,0,0,0,0,0,1040,0,0,1040,5,0,6,2,625,0,0,0,0,0,109500
158,60,12003,0,8,5,2009,2010,0,0,0,774,774,774,1194,0,1968,8,1,5,3,680,0,75,0,0,0,269500
159,60,12552,0,7,5,2004,2005,0,222,0,769,991,991,956,0,1947,8,1,5,2,678,0,136,0,0,0,254900
160,60,19378,0,7,5,2005,2006,0,57,0,1335,1392,1392,1070,0,2462,9,1,3,2,576,239,132,0,168,0,320000
161,20,11120,0,6,6,1984,1984,0,660,0,572,1232,1232,0,0,1232,6,0,6,2,516,0,0,0,0,0,162500
162,60,13688,0,9,5,2003,2004,0,1016,0,556,1572,1572,1096,0,2668,10,2,3,3,726,400,0,0,0,0,412500
163,20,12182,0,7,5,2005,2005,0,1201,0,340,1541,1541,0,0,1541,7,1,5,2,532,0,70,0,0,0,220000
164,45,5500,0,4,6,1956,1956,0,0,0,882,882,882,0,0,882,4,0,4,0,0,0,0,0,0,0,103200
165,40,5400,0,6,7,1926,2004,0,370,0,779,1149,1149,467,0,1616,5,0,10,1,216,0,0,183,0,0,152000
166,190,10106,0,5,7,1940,1999,0,351,181,112,644,808,547,0,1355,6,0,9,0,0,140,0,0,0,0,127500
167,20,10708,0,5,5,1955,1993,0,379,768,470,1617,1867,0,0,1867,7,3,11,1,303,476,0,0,0,142,190000
168,60,10562,0,8,5,2007,2007,0,1288,0,294,1582,1610,551,0,2161,8,1,11,3,789,178,120,0,0,0,325624
169,60,8244,0,7,5,2004,2004,0,0,0,840,840,840,880,0,1720,7,1,5,2,440,100,48,0,0,0,183500
170,20,16669,0,8,6,1981,1981,0,0,0,1686,1686,1707,0,0,1707,6,1,1,2,511,574,64,0,0,0,228000
171,50,12358,0,5,6,1941,1950,0,360,0,360,720,854,0,528,1382,7,0,5,2,660,237,0,0,0,0,128500
172,20,31770,0,6,5,1960,1960,0,639,0,441,1080,1656,0,0,1656,7,2,5,2,528,210,62,0,0,0,215000
173,160,5306,0,7,7,1987,1987,0,495,215,354,1064,1064,703,0,1767,5,1,6,2,504,441,35,0,0,0,239000
174,20,10197,0,6,5,1961,1961,0,288,374,700,1362,1362,0,0,1362,6,1,6,2,504,0,20,0,0,0,163000
175,20,12416,0,6,5,1986,1986,0,1398,208,0,1606,1651,0,0,1651,7,1,11,2,616,192,0,0,0,0,184000
176,20,12615,0,6,7,1950,2001,0,477,0,725,1202,2158,0,0,2158,7,1,6,2,576,0,29,39,0,0,243000
177,60,10029,0,6,5,1988,1989,0,831,0,320,1151,1164,896,0,2060,8,1,9,2,521,0,228,0,0,192,211000
178,50,13650,0,5,5,1958,1958,0,57,441,554,1052,1252,668,0,1920,8,1,7,2,451,0,0,0,0,0,172500
179,20,17423,0,9,5,2008,2009,0,1904,0,312,2216,2234,0,0,2234,9,1,7,3,1166,0,60,0,0,0,501837
180,30,8520,0,5,6,1923,2006,0,0,0,968,968,968,0,0,968,5,0,7,2,480,0,0,184,0,0,100000
181,160,2117,0,6,5,2000,2000,0,436,0,320,756,769,756,0,1525,5,1,6,2,440,0,0,0,0,0,177000
182,70,7588,0,7,6,1920,1950,0,352,0,441,793,901,901,0,1802,9,1,7,1,216,0,0,40,0,0,200100
183,20,9060,0,5,6,1957,2006,0,0,0,0,0,1340,0,0,1340,7,1,6,1,252,116,0,0,180,0,120000
184,50,11426,0,7,5,2003,2003,0,0,0,1362,1362,1362,720,0,2082,6,0,6,2,484,280,238,0,0,0,200000
185,50,7438,0,5,8,1908,1991,0,0,0,504,504,936,316,0,1252,5,0,6,2,576,104,0,0,0,0,127000
186,75,22950,0,10,9,1892,1993,0,0,0,1107,1107,1518,1518,572,3608,12,2,6,3,840,0,260,0,0,410,475000
187,80,9947,0,7,5,1990,1991,0,611,0,577,1188,1217,0,0,1217,6,0,6,2,497,168,27,0,0,0,173000
188,50,10410,0,5,7,1916,1987,0,0,0,660,660,808,704,144,1656,8,0,8,1,180,0,0,0,140,0,135000
189,90,7018,0,5,5,1979,1979,0,1086,0,0,1086,1224,0,0,1224,6,2,6,2,528,120,0,0,0,0,153337
190,120,4923,0,8,5,2001,2002,0,1153,0,440,1593,1593,0,0,1593,5,1,8,2,682,0,120,0,0,224,286000
191,70,10570,0,8,8,1932,1994,0,297,0,556,853,1549,1178,0,2727,10,2,12,2,440,0,74,0,0,0,315000
192,60,7472,0,7,9,1972,2004,0,626,0,99,725,725,754,0,1479,7,0,6,2,484,0,32,0,0,0,184000
193,20,9017,0,7,5,1999,1999,0,560,0,871,1431,1431,0,0,1431,6,0,9,2,666,0,35,0,0,0,192000
194,160,2522,0,7,5,2004,2004,0,0,0,970,970,970,739,0,1709,7,0,5,2,380,0,40,0,0,0,130000
195,20,7180,0,5,7,1972,1972,0,390,0,474,864,864,0,0,864,5,0,5,1,352,0,0,0,0,0,127000
196,160,2280,0,6,6,1976,1976,0,566,0,289,855,855,601,0,1456,7,1,7,2,440,87,0,0,0,0,148500
197,20,9416,0,7,5,2007,2007,0,1126,0,600,1726,1726,0,0,1726,8,1,9,3,786,171,138,0,0,266,311872
198,75,25419,512,8,4,1918,1990,0,1036,184,140,1360,1360,1360,392,3112,8,1,3,2,795,0,16,552,0,0,235000
199,75,5520,0,6,6,1912,1950,0,0,0,755,755,929,929,371,2229,8,0,7,0,0,0,198,30,0,0,104000
200,20,9591,0,8,5,2004,2005,0,1088,0,625,1713,1713,0,0,1713,7,1,1,3,856,0,26,0,0,170,274900
201,20,8546,0,4,5,2003,2004,0,0,0,1121,1121,1121,0,0,1121,5,0,3,2,440,132,64,0,0,0,140000
202,20,10125,0,6,6,1977,1977,0,641,279,276,1196,1279,0,0,1279,6,2,2,2,473,238,83,0,0,0,171500
203,50,7000,0,6,6,1924,1950,0,617,0,0,617,865,445,0,1310,6,0,5,1,398,0,0,126,0,0,112000
204,120,4438,0,6,5,2004,2004,0,662,0,186,848,848,0,0,848,3,1,1,2,420,149,0,0,0,0,149000
205,50,3500,0,5,7,1947,1950,0,312,0,408,720,720,564,0,1284,5,0,4,1,240,0,35,0,0,0,110000
206,20,11851,0,7,5,1990,1990,0,0,0,1424,1424,1442,0,0,1442,5,0,5,2,500,0,34,0,508,0,180500
207,20,13673,0,5,5,1962,1962,0,0,0,1140,1140,1696,0,0,1696,8,1,3,1,349,0,30,0,0,0,143900
208,20,12493,0,4,5,1960,1960,0,419,306,375,1100,1100,0,0,1100,6,1,4,1,312,355,0,0,0,0,141000
209,60,14364,0,7,5,1988,1989,0,1065,0,92,1157,1180,882,0,2062,7,1,4,2,454,60,55,0,0,154,277000
210,20,8250,0,6,7,1964,1964,0,787,0,305,1092,1092,0,0,1092,6,0,7,2,504,0,0,0,0,0,145000
211,30,5604,0,5,6,1925,1950,0,468,0,396,864,864,0,0,864,5,0,4,0,0,0,0,96,0,0,98000
212,20,10420,0,6,5,2009,2009,0,36,0,1176,1212,1212,0,0,1212,6,0,3,2,460,100,22,0,0,0,186000
213,60,8640,0,7,5,2009,2009,0,822,0,78,900,932,920,0,1852,7,1,7,2,644,168,108,0,0,0,252678
214,20,13568,0,5,5,1995,1995,0,716,0,274,990,990,0,0,990,5,0,7,2,576,224,0,0,0,0,156000
215,60,10900,0,6,7,1977,1977,450,378,0,311,689,689,703,0,1392,6,0,3,1,299,0,36,0,0,0,161750
216,20,10011,0,5,6,1957,1996,0,360,0,710,1070,1236,0,0,1236,6,1,5,1,447,0,0,0,0,0,134450
217,20,8450,0,7,5,2004,2004,0,946,0,490,1436,1436,0,0,1436,8,0,4,2,484,139,98,0,0,0,210000
